n,seconds
1,0.0001773000
2,0.0002850000
3,0.0003749000
4,0.0004403000
5,0.0004906000
6,0.0005242000
7,0.0005826000
8,0.0006309000
9,0.0007020000
10,0.0007839000
11,0.0008514000
12,0.0010351000
13,0.0010512000
14,0.0012360000
15,0.0012829000
16,0.0014526000
17,0.0015485000
18,0.0016816000
19,0.0017866000
20,0.0019528000
21,0.0020539000
22,0.0022162000
23,0.0022885000
24,0.0024650000
25,0.0026208000
26,0.0027024000
27,0.0028773000
28,0.0029887000
29,0.0032056000
30,0.0034147000
31,0.0034045000
32,0.0035681000
33,0.0038099000
34,0.0040154000
35,0.0041217000
36,0.0043718000
37,0.0045503000
38,0.0048391000
39,0.0050446000
40,0.0052685000
41,0.0052832000
42,0.0055405000
43,0.0059863000
44,0.0060173000
45,0.0063261000
46,0.0063174000
47,0.0063925000
48,0.0067317000
49,0.0077980000
50,0.0069340000
51,0.0073652000
52,0.0076173000
53,0.0079272000
54,0.0082164000
55,0.0085909000
56,0.0087926000
57,0.0088285000
58,0.0093202000
59,0.0096600000
60,0.0098691000
61,0.0100988000
62,0.0107934000
63,0.0128860000
64,0.0140252000
65,0.0113679000
66,0.0117253000
67,0.0118559000
68,0.0122728000
69,0.0125122000
70,0.0129789000
71,0.0098267000
72,0.0083375000
73,0.0105636000
74,0.0110893000
75,0.0101290000
76,0.0099358000
77,0.0101193000
78,0.0106152000
79,0.0108014000
80,0.0110796000
81,0.0111065000
82,0.0113332000
83,0.0119722000
84,0.0119400000
85,0.0121670000
86,0.0122736000
87,0.0124841000
88,0.0135380000
89,0.0143082000
90,0.0144437000
91,0.0137357000
92,0.0139380000
93,0.0142633000
94,0.0149194000
95,0.0148128000
96,0.0149482000
97,0.0161770000
98,0.0180289000
99,0.0165469000
100,0.0165846000
101,0.0175129000
102,0.0172634000
103,0.0134457000
104,0.0136660000
105,0.0137468000
106,0.0136939000
107,0.0137081000
108,0.0140697000
109,0.0140572000
110,0.0146547000
111,0.0162665000
112,0.0140876000
113,0.0143334000
114,0.0147973000
115,0.0144351000
116,0.0148028000
117,0.0162401000
118,0.0152548000
119,0.0155052000
120,0.0153577000
121,0.0153431000
122,0.0155716000
123,0.0160992000
124,0.0162796000
125,0.0162024000
126,0.0167259000
127,0.0166919000
128,0.0168458000
129,0.0166065000
130,0.0166650000
131,0.0170740000
132,0.0169935000
133,0.0175339000
134,0.0173464000
135,0.0182471000
136,0.0179328000
137,0.0178406000
138,0.0181667000
139,0.0185103000
140,0.0181146000
141,0.0185289000
142,0.0199130000
143,0.0194988000
144,0.0197473000
145,0.0195324000
146,0.0198041000
147,0.0199991000
148,0.0200045000
149,0.0204927000
150,0.0203840000
151,0.0215053000
152,0.0215330000
153,0.0214681000
154,0.0220346000
155,0.0219746000
156,0.0274478000
157,0.0219913000
158,0.0239888000
159,0.0234322000
160,0.0233369000
161,0.0237210000
162,0.0241686000
163,0.0251894000
164,0.0247676000
165,0.0247385000
166,0.0257122000
167,0.0260732000
168,0.0229398000
169,0.0229954000
170,0.0219390000
171,0.0223590000
172,0.0220664000
173,0.0225200000
174,0.0247945000
175,0.0226863000
176,0.0225990000
177,0.0224984000
178,0.0233435000
179,0.0277719000
180,0.0263911000
181,0.0238415000
182,0.0239649000
183,0.0239931000
184,0.0246377000
185,0.0246490000
186,0.0239903000
187,0.0241281000
188,0.0247623000
189,0.0242211000
190,0.0249065000
191,0.0243299000
192,0.0265132000
193,0.0249761000
194,0.0254261000
195,0.0261195000
196,0.0251458000
197,0.0266588000
198,0.0259853000
199,0.0261958000
200,0.0261157000
